Aberdeen Kai-Fong Welfare Association Social Service Centre ,Aberdeen Kai-Fong Welfare Association Social Service Centre 
Animals Asia,Animals Asia
Arts with the Disabled Association Hong Kong,Arts with the Disabled Association Hong Kong
AXA ,AXA 
belilios public school,Belilios public school
belilios public school-club of cyc ,Belilios public school
CCR CSR,CCR CSR
Center for Global & Community Engagement - HKUST,Center for Global and Community Engagement (GCE) - HKUST
Center for Global and Community Engagement (GCE) - HKUST,Center for Global and Community Engagement (GCE) - HKUST
China Peniel Missionary Society Social Center,China Peniel Missionary Society Social Center
Christian Action Ethnic Minority Centre,Christian Action Ethnic Minority Centre
Christian Family Service Centre,Christian Family Service Centre
Crossroads Foundation,Crossroads Foundation
CUHK Marathon Support Team ,CUHK Marathon Support Team 
Dachau Refugee Camp,Dachau Refugee Camp
Design for Child Association,Design for Child Association
EQ ambassador,EQ ambassador
Ever Green Association,Ever Green Association
Ever Green Association & 北河燒臘飯店 & 明利油器粥品,Ever Green Association & 北河燒臘飯店 & 明利油器粥品
Factotum Productions,Factotum Productions
Feeding Hong Kong,Feeding Hong Kong
Feeding Hong Kong and Crossroad,Feeding Hong Kong
"FINCA (http://www.finca.org), in co-ordination with Oxford Microfinance Initiative (http://oxfordmicrofinance.org)",FINCA
Food Angel,Food Angel
food angel ,Food Angel
Green Power Hike for a green future ,Green Power Hike for a green future 
Hands On,Hands On Hong Kong
Hands On Hong Kong,Hands On Hong Kong
Hands On Hong Kong ,Hands On Hong Kong
Hands On Hong Kong at China Coast Community,Hands On Hong Kong
Handson,Hands On Hong Kong
HandsOn - Soap Cycling,Hands On Hong Kong
HandsOn Hong Kong,Hands On Hong Kong
HandsOn Hong Kong and Aberdeen Kai-fong Welfare Association Social Service Centre (AKA),Hands On Hong Kong
Handson Hong Kong and Soap Recycling,Hands On Hong Kong
Harvard Seed on Citizention and Social Innovation,Harvard Seed on Citizenship and Social Innovation
"Hiking Meetup, Eco Marine, WWF-HK","Hiking Meetup, Eco Marine, WWF-HK"
HKFYG Ping Shek Center,HKFYG Ping Shek Center
HKUST + YDC,HKUST + YDC
HKUST Connect,HKUST Connect
"HKUST Connect ACE, Service Learning Day 2015","HKUST Connect ACE, Service Learning Day 2015"
HKUST Connect and ADAMEC studio Yim Tin Tsai Museum,HKUST Connect and ADAMEC studio Yim Tin Tsai Museum
HKUST Connect and Food Angel,HKUST Connect and Food Angel
HKUST connect and Haven of Hope Community,HKUST connect and Haven of Hope Community
HKUST Green Challenge (Upcycling Workshop),HKUST Green Challenge (Upcycling Workshop)
HKUST Green Challenge-Recycling Workshop,HKUST Green Challenge-Recycling Workshop
HKUST UG Student Development and Career Services,HKUST UG Student Development and Career Services
Homie Community Outreach,Homie Community Outreach
Hong Kong Association for Cleft Lip and Palate,Hong Kong Association for Cleft Lip and Palate
Hong Kong Christian Service Centre Harmony and Enhancement of Ethic Minority Residents (CHEER) ,Hong Kong Christian Service Centre Harmony and Enhancement of Ethic Minority Residents (CHEER) 
Hong Kong community chest,Hong Kong Community Chest
Hong Kong Employment Development Service,Hong Kong Employment Development Service
Hong Kong Federation of Youth Groups,Hong Kong Federation of Youth Groups
Hong Kong Life,Hong Kong Life
Hong Kong Society for the Protection of Children,Hong Kong Society for the Protection of Children
Hong Kong Volunteer,Hong Kong Volunteer
Hong Kong Wetland Park,Hong Kong Wetland Park
Hong Kong Young Women's Christian Association,Hong Kong Young Women's Christian Association
IMC Sunday School,IMC Sunday School
Indonesian Association of Hong Kong,Indonesian Association of Hong Kong
Institute For Integrated Rural Development Hong Kong,Institute For Integrated Rural Development Hong Kong
Island ECC,Island ECC
Jockey Club Sarah Roe School,Jockey Club Sarah Roe School
Junior Achievement ,Junior Achievement 
"Language Center, Hong Kong Baptisy University","Language Center, Hong Kong Baptist University"
Leo Club,Leo Club
Link of volunteers,Link of volunteers
Mission to New Arrivals Ltd,Mission to New Arrivals Ltd
MUSTI (Indonesian Society in HKUST),MUSTI (Indonesian Students Association in HKUST)
MUSTI (Indonesian Students Association in HKUST),MUSTI (Indonesian Students Association in HKUST)
Orbis Moonwalker,Orbis Moonwalker
pathfinders,Pathfinders
Phoenix Charities Foundation LTD,Phoenix Charities Foundation LTD
PPI-HK/HK-INASA (Indonesian Students Association in Hong Kong),PPI-HK/HK-INASA (Indonesian Students Association in Hong Kong)
Principal Chan Free Tutorial Work (陳校長免費補習天地),Principal Chan Free Tutorial World (陳校長免費補習天地)
Principal Chan Free Tutorial World 陳校長免費補習天地,Principal Chan Free Tutorial World (陳校長免費補習天地)
Professor Paws,Professor Paws
REDbird Award Program,REDbird Award Program
RedBird organisation,RedBird organisation
Regeneration Society ,Regeneration Society 
Service Civil International,Service Civil International
Soap Cycling,Soap Cycling
Soap Recycling,Soap Cycling
Society for Aids Care,Society for Aids Care
